s,NOME AGÊNCIA,ENDEREÇO,CIDADE,TIPO,AMBIENTE,ANDAR,CAPACIDADE,QUANTIDADE,MANTENEDORA,VENCIMENTO RECARGA,TESTE HIDROSTÁTICO,MEMORIAL
10954,BARREIRAS-INT-BA,R GUIOMAR PORTO 169 LT NI QD 60,BARREIRAS,H²O,GERENCIA,1º ANDAR,10L,1,LACORTH,10/01/2020,01/10/2020,NÃO ENCONTRADO
10954,BARREIRAS-INT-BA,R GUIOMAR PORTO 169 LT NI QD 60,BARREIRAS,H²O,AUTO ATEND.,1º ANDAR,10L,1,LACORTH,10/01/2020,01/10/2020,NÃO ENCONTRADO
10954,BARREIRAS-INT-BA,R GUIOMAR PORTO 169 LT NI QD 60,BARREIRAS,H²O,GERENCIA,1º ANDAR,10L,1,LACORTH,10/01/2020,01/10/2020,NÃO ENCONTRADO
10954,BARREIRAS-INT-BA,R GUIOMAR PORTO 169 LT NI QD 60,BARREIRAS,PÓ QUIMICO,GERENCIA,1º ANDAR,6KG,1,LACORTH,10/01/2020,01/10/2020,NÃO ENCONTRADO
10954,BARREIRAS-INT-BA,R GUIOMAR PORTO 169 LT NI QD 60,BARREIRAS,PÓ QUIMICO,GERENCIA,1º ANDAR,6KG,1,LACORTH,10/01/2020,01/10/2020,NÃO ENCONTRADO
10954,BARREIRAS-INT-BA,R GUIOMAR PORTO 169 LT NI QD 60,BARREIRAS,PÓ QUIMICO,GERENCIA,1º ANDAR,6KG,1,LACORTH,10/01/2020,01/10/2020,NÃO ENCONTRADO
10954,BARREIRAS-INT-BA,R GUIOMAR PORTO 169 LT NI QD 60,BARREIRAS,PÓ QUIMICO,CAIXA,1º ANDAR,6KG,1,LACORTH,10/01/2020,01/10/2020,NÃO ENCONTRADO
10954,BARREIRAS-INT-BA,R GUIOMAR PORTO 169 LT NI QD 60,BARREIRAS,PÓ QUIMICO,CAIXA,1º ANDAR,6KG,1,LACORTH,10/01/2020,01/10/2020,NÃO ENCONTRADO
10954,BARREIRAS-INT-BA,R GUIOMAR PORTO 169 LT NI QD 60,BARREIRAS,PÓ QUIMICO,CAIXA,1º ANDAR,6KG,1,LACORTH,10/01/2020,01/10/2020,NÃO ENCONTRADO
10789,BR CENTRO-F SANTANA-BA,AV GETULIO VARGAS 791,FEIRA DE SANTANA,PÓ QUIMICO,ESTACIONAMENTO,1º ANDAR,6KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10789,BR CENTRO-F SANTANA-BA,AV GETULIO VARGAS 791,FEIRA DE SANTANA,PÓ QUIMICO,ESTACIONAMENTO,1º ANDAR,6KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10789,BR CENTRO-F SANTANA-BA,AV GETULIO VARGAS 791,FEIRA DE SANTANA,PÓ QUIMICO,GERENCIA,1º ANDAR,4KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10789,BR CENTRO-F SANTANA-BA,AV GETULIO VARGAS 791,FEIRA DE SANTANA,PÓ QUIMICO,GERENCIA,1º ANDAR,6KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
